"ADream_1831" "Berenice_1835" "CardboardBox_1" "Destiny3" "HarryandLucy3" "LastDayOfPompeii2" "MinorMorals3" "MobyDick_1" "PericlesAndAspesia1" "Rookwood1" "SketchBookOfGeoffreyCrayon_3" "Spaewife2" "TheAbbot2" "TheBravo1" "TheDoctor2" "TwiceToldTales_4"
"other" 0.0829875518672199 0.0625390869293308 0.0693962526023595 0.0996106130580458 0.174467371246435 0.0956873915172015 0.111487005997232 0.171484099613208 0.15596761815166 0.167418340850075 0.11717018177212 0.061223490228731 0.133851858551144 0.229038487447793 0.207141680201492 0.152742546981971
"these" 0.0829875518672199 0.0938086303939962 0.138792505204719 0.0928189803495427 0.214729072303305 0.171347189461035 0.0461325542057512 0.188632509574529 0.175773029980442 0.0820008200082001 0.158338083475838 0.0955086447568203 0.162792800940581 0.130237571293843 0.112986371018996 0.139104819572866
"little" 0.16597510373444 0.0312695434646654 0.161924589405505 0.187901838268586 0.251635631605435 0.0890115269927456 0.149930801168691 0.192443267343711 0.180724382937638 0.0854175208418751 0.288175311926024 0.051427731792134 0.0886316360676495 0.130237571293843 0.0847397782642469 0.122739546681941
"own" 0.0829875518672199 0.187617260787992 0.0693962526023595 0.208276736394096 0.0872336856232176 0.126841425964662 0.12302014454867 0.0971743231141513 0.0742702943579333 0.133251332513325 0.0950028500855026 0.156732134985551 0.153748756443882 0.229038487447793 0.157710142880682 0.166380274391075
"well" 0 0.0938086303939962 0.150358547305112 0.165263062573576 0.144271095453783 0.0823356624682896 0.157619560202983 0.135281900805975 0.106454088579704 0.105917725843925 0.050668186712268 0.102855463584268 0.177263272135299 0.125746620559572 0.138879081044182 0.0709161825273436
"much" 0 0 0.104094378903539 0.196957348546591 0.187887938265392 0.080110374293471 0.188374596340151 0.114322733075472 0.128735176887084 0.119584529178625 0.120336943441637 0.142038497330656 0.132043049651804 0.125746620559572 0.134171315585058 0.0763712734909855
"can" 0.0829875518672199 0 0.115660421003932 0.196957348546591 0.204663647039087 0.144643731363212 0.130708903582962 0.0743097764990568 0.2228108830738 0.0990843241765751 0.0443346633732345 0.0808150071019249 0.110337342859727 0.10329186688822 0.138879081044182 0.0654610915637018
"old" 0 0 0.046264168401573 0.0860273476410396 0.097299110887435 0.104588544216476 0.111487005997232 0.247699254996856 0.0594162354863466 0.105917725843925 0.554183292165432 0.105304403193417 0.155557565343221 0.125746620559572 0.134171315585058 0.471865368355017
"only" 0.0829875518672199 0.0938086303939962 0.092528336803146 0.196957348546591 0.164401945982218 0.149094307712849 0.0922651084115024 0.173389478497799 0.235189265466789 0.11616782834495 0.0538349483817848 0.107753342802566 0.092249253866329 0.0628733102797862 0.157710142880682 0.0709161825273436
"before" 0.24896265560166 0.187617260787992 0.161924589405505 0.0837634700715385 0.137560811944305 0.155770172237305 0.0961094879286483 0.133376521921384 0.160918971108856 0.1503348366817 0.110836658433086 0.112651222020865 0.0777787826716107 0.0988009161539498 0.0847397782642469 0.0845539099364482
"must" 0 0.0625390869293308 0.161924589405505 0.23997102236711 0.147626237208522 0.0712092215941964 0.0768875903429187 0.12766038526761 0.185675735894833 0.112751127511275 0.0696687567293686 0.0636724298378802 0.150131138645202 0.170656127902277 0.122401901937245 0.0790988189728064
"how" 0 0.0938086303939962 0.127226463104326 0.224123879380603 0.268411340379131 0.149094307712849 0.161463939720129 0.146714174113522 0.242616294902582 0.0751674183408501 0.0443346633732345 0.142038497330656 0.0596906936782129 0.0538914088112453 0.120048019207683 0.09000900090009
"most" 0 0.34396497811132 0.104094378903539 0.101874490627547 0.0469719845663479 0.111264408740932 0.188374596340151 0.129565764152202 0.158443294630258 0.0854175208418751 0.139337513458737 0.0440809129646863 0.0868228271683097 0.130237571293843 0.169479556528494 0.06000600060006
"about" 0 0.0938086303939962 0.138792505204719 0.0701802046545323 0.184532796510653 0.0378298989719169 0.192218975857297 0.262942286073586 0.143589235758671 0.0854175208418751 0.174171891823421 0.0440809129646863 0.066925929275572 0.040418556608434 0.0635548336981852 0.0927365463819109
"those" 0 0.0938086303939962 0.0809622947027527 0.104138368197048 0.0939439691326959 0.189149494859584 0.153775180685837 0.125755006383019 0.185675735894833 0.0888342216755501 0.12667046678067 0.107753342802566 0.130234240752465 0.152692324965195 0.174187321987619 0.09000900090009
"himself" 0 0 0.0231320842007865 0.056596939237526 0.0805234021137393 0.137967866838756 0.126864524065816 0.123849627498428 0.0594162354863466 0.181085144184775 0.13617075178922 0.171425772640447 0.126616622953785 0.107782817622491 0.157710142880682 0.0845539099364482
"us" 0 0.0312695434646654 0.231320842007865 0.0973467354885448 0.0771682603590002 0.178023053985491 0.234507150545902 0.12766038526761 0.304508206867527 0.0956676233429001 0.050668186712268 0.0808150071019249 0.132043049651804 0.143710423496654 0.0659087164277476 0.106374273791015
"might" 0 0.0938086303939962 0.104094378903539 0.101874490627547 0.110719677906392 0.0823356624682896 0.0807319698600646 0.0933635653449688 0.123783823929889 0.1640016400164 0.10766989676357 0.112651222020865 0.0651171203762323 0.107782817622491 0.21420332839018 0.155470092463792
"made" 0.0829875518672199 0.0312695434646654 0.092528336803146 0.0792357149325364 0.191243080020131 0.0823356624682896 0.115331385514378 0.0914581864603776 0.0792216473151289 0.0990843241765751 0.101336373424536 0.171425772640447 0.0904404449669892 0.0583823595455158 0.120048019207683 0.09000900090009
"did" 0.16597510373444 0.125078173858662 0.092528336803146 0.0611246943765281 0.174467371246435 0.0934621033423828 0.146086421651545 0.165767962959434 0.113881118015498 0.105917725843925 0.050668186712268 0.0955086447568203 0.0633083114768925 0.0718552117483271 0.0847397782642469 0.0681886370455227
"thou" 0 0 0 0 0 0.600827807201033 0.1422420421344 0.120038869729246 0.0767459708365311 0.2870028700287 0.0158338083475838 0.0146936376548954 0.231527539115492 0.552386940315265 0.06826259915731 0.0327305457818509
"see" 0.24896265560166 0 0.266018968309045 0.129041021461559 0.204663647039087 0.142418443188393 0.149930801168691 0.146714174113522 0.0792216473151289 0.0751674183408501 0.0601684717208183 0.115100161630014 0.133851858551144 0.0583823595455158 0.0729703646164348 0.0790988189728064
"over" 0.580912863070539 0.156347717323327 0.150358547305112 0.056596939237526 0.114074819661131 0.175797765810672 0.0884207288943565 0.192443267343711 0.0866486767509222 0.0990843241765751 0.12667046678067 0.0563256110104325 0.0904404449669892 0.0673642610140567 0.0541393027799355 0.139104819572866
"great" 0 0.0312695434646654 0.0346981263011797 0.110930000905551 0.228149639322261 0.0645333570697405 0.219129632477318 0.152430310767296 0.108929765058302 0.0854175208418751 0.231173601874723 0.0930597051476711 0.0614995025775527 0.112273768356761 0.134171315585058 0.0763712734909855
